neighbourhood,Year,Month,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),AQI_PM25_category,AQI_PM10_category
London North Kensington,2024,11,32.5,21.366666666666667,Moderate,Good
London North Kensington,2024,12,18.41935483870968,10.903225806451612,Good,Good
London North Kensington,2025,1,29.548387096774192,22.41935483870968,Moderate,Good
London North Kensington,2025,2,33.142857142857146,23.75,Moderate,Good
London North Kensington,2025,3,36.80645161290322,26.41935483870968,Moderate,Good
London North Kensington,2025,4,27.75862068965517,18.93103448275862,Moderate,Good
London North Kensington,2025,5,22.166666666666668,13.529411764705882,Moderate,Good
London North Kensington,2025,6,19.214285714285715,8.428571428571429,Good,Good
London North Kensington,2025,7,18.06451612903226,8.580645161290322,Good,Good
London North Kensington,2025,8,20.90322580645161,9.806451612903226,Good,Good
